48424	Word --> Prefix Stem Suffix
8	Char --> fffef266
2	Char --> fffef75d
3	Char --> fffe8395
5	Char --> fffe5562
12	Char --> fffe4655
4	Char --> fffeed65
81	Char --> fffee030
8	Char --> fffed879
5	Char --> fffeae93
4	Char --> fffe9863
4	Char --> fffe367f
3	Char --> fffe5d78
2	Char --> fffe237e
2	Char --> fffebe9e
2	Char --> fffebd5d
2	Char --> fffe057d
12	Char --> fffe8a8d
7	Char --> fffe8473
3	Char --> fffe3f7a
2	Char --> fffe0161
8	Char --> fffe2b67
4	Char --> fffed85f
4	Char --> fffe2883
5	Char --> fffe5997
2	Char --> fffe4e6b
2	Char --> fffeda50
14	Char --> fffe3290
2	Char --> fffe5689
2	Char --> fffec156
2	Char --> fffeab8c
2	Char --> fffe4f5c
23	Char --> fffe2760
4	Char --> fffe9c81
2	Char --> fffe1198
2	Char --> fffe0080
3	Char --> fffe567b
3	Char --> fffedc91
3	Char --> fffeb55b
2	Char --> fffe4654
5	Char --> fffe2a8a
3	Char --> fffe984e
11	Char --> fffe007d
2	Char --> fffefa8a
3	Char --> fffe7791
2	Char --> fffe5f8e
2	Char --> fffe3e61
2	Char --> fffe337d
4	Char --> fffe2797
5	Char --> fffe0e9a
2	Char --> fffee17f
2	Char --> fffe6887
10	Char --> fffe4688
2	Char --> fffe757f
2	Char --> fffea097
2	Char --> fffe596a
6	Char --> fffe6879
2	Char --> fffe5f5e
4	Char --> fffecc96
2	Char --> fffea973
2	Char --> fffee180
3	Char --> fffecf8a
15	Char --> fffe1a90
5	Char --> fffe008b
48	Char --> fffedc30
2	Char --> fffe5f4f
8	Char --> fffed776
4	Char --> fffea859
2	Char --> fffe1462
13	Char --> fffe0672
6	Char --> fffe4276
2	Char --> fffe7263
2	Char --> fffe9b5b
2	Char --> fffe1c4f
8	Char --> fffea690
2	Char --> fffe9c91
15	Char --> fffe2452
2	Char --> fffe016f
2	Char --> fffe2b93
2	Char --> fffe8d7b
4	Char --> fffe1080
7	Char --> fffeb95b
3	Char --> fffe5e7d
4	Char --> fffe3752
2	Char --> fffe0961
5	Char --> fffeae64
2	Char --> fffea985
2	Char --> fffe0b6a
2	Char --> fffe1c69
2	Char --> fffe0f57
2	Char --> fffef653
2	Char --> fffe6e93
2	Char --> fffedb6a
15	Char --> fffe1d4f
2	Char --> fffedf4f
3	Char --> fffe9984
